,,,,,归属母公司股东的净利润同比增长率(%),,,,,,,归属母公司股东的净利润-扣除非经常损益同比增长率(%),,,,,,,营业总收入同比增长率(%),,,,,,,销售毛利率,,,,,,,销售净利率,,,,,,,加权平均净资产收益率,,,,,,
002252.SZ,上海莱士,上海,生物制药,20080623,41.9712,131.7444,140.0352,-281.6637,-48.1867,11.8371,182.353,60.21,188.9,286.63,-74.86,-31.55,31.76,41.61,25.1799,84.1484,43.2731,-6.4071,-17.1307,15.5429,52.555,65.9031,65.2619,64.1532,66.739,63.6902,63.744,61.3818,42.2285,37.2526,23.4401,-84.4235,43.1568,70.9473,73.5316,1.94,1.99,5.43,-12.99,6.93,14.16,14.88
002262.SZ,恩华药业,江苏,化学制药,20080723,9.6161,23.637,26.3908,32.9859,27.407,19.8942,15.71,10.47,23.93,20.93,39.9,18.97,18.49,13.79,-29.7251,13.3095,7.5462,13.687,12.4559,9.0805,10.6026,76.1082,57.2856,62.615,56.1451,47.9671,46.0909,41.8838,18.421,11.6866,15.8357,13.4562,11.0574,9.9969,9.2274,3.74,4.15,20.22,19.48,17.38,15.88,18.13
002275.SZ,桂林三金,广西,中成药,20090710,-12.5158,5.1065,-5.1297,-10.994,17.9704,4.5487,-15.329,-13.38,4.76,-5.41,-11.97,16.05,7.82,-16.23,-12.9276,9.2144,3.5181,-1.9395,5.9527,9.655,-6.4466,66.2809,73.4651,72.8573,72.712,75.9124,73.1048,72.5251,23.3657,23.2557,23.905,26.084,28.7375,25.81,27.4579,2.69,3.08,14.1,15.19,18.43,16.33,16.36
002287.SZ,奇正藏药,西藏,中成药,20090828,-42.5186,9.983,14.2698,5.9581,3.7883,9.4185,11.5255,-36.85,1.97,10.01,-0.29,23.74,-1.3,17.83,-39.9743,11.78,15.6171,15.198,8.7568,-2.6514,4.6966,83.9992,87.5757,87.1461,87.8045,87.3595,84.5065,79.7887,31.8279,33.2923,25.9781,26.1654,28.5593,29.719,26.2743,2.15,4.09,17.18,16.44,16.78,17.47,17.01
002294.SZ,信立泰,深圳,化学制药,20090910,-53.3286,-22.5685,-50.9539,0.4364,3.9725,10.3082,21.4548,-55.75,-22.91,-54.19,0.66,1.14,10.63,20.69,-27.1319,5.515,-3.8997,11.9915,8.355,10.2308,20.6424,74.227,79.5151,78.4281,79.7141,81.1002,75.2216,73.7674,17.2301,26.9259,15.2521,31.2687,34.5921,36.2604,36.5091,2.29,4.71,11.07,23.43,25.94,28.68,30.82
002317.SZ,众生药业,广东,中成药,20091211,-58.1527,2.9535,-27.0674,3.6959,1.3882,39.6523,32.1304,-57.47,4.13,-29.39,26.42,-10.15,27.1,32.08,-36.5719,2.8162,7.1992,20.2253,16.0562,7.273,20.5745,59.3365,57.0154,63.7588,61.7217,58.7044,69.5006,63.673,13.4577,20.7663,12.6318,18.2299,21.5352,24.8444,18.7378,1.29,3.15,7.99,11.38,11.87,16.2,15.13
002332.SZ,仙琚制药,浙江,生物制药,20100112,16.1079,43.2311,36.1709,45.8466,41.3466,37.1989,87.9349,12.5,37.16,33.9,51.0,43.08,40.04,84.67,-10.8938,0.6986,2.3964,26.9653,13.9322,0.9468,0.3932,53.2543,59.1328,60.5416,59.0858,56.3241,50.9285,43.7238,8.3953,8.831,11.9313,9.536,8.0664,5.8478,4.2174,2.26,2.18,14.78,12.05,9.01,6.71,7.7
002349.SZ,精华制药,江苏,中成药,20100203,-20.2157,12.5148,-271.3877,30.9978,6.2354,111.3568,97.8348,-4.94,0.74,-291.13,73.47,-21.58,112.4,193.53,-10.9659,4.8433,-14.5653,20.8566,27.1624,12.9628,35.0635,48.9385,53.1171,45.4671,48.0396,49.8753,49.6516,38.5266,17.8427,24.3804,-45.3045,19.1975,16.9795,19.6781,10.4881,2.87,2.92,-19.08,9.91,7.99,7.89,5.56
002365.SZ,永安药业,湖北,化学制药,20100305,-27.1684,-85.0105,-49.6416,34.1219,113.7353,253.7072,-44.4788,85.49,-97.01,-57.87,30.27,208.84,14108.19,-101.62,-21.7347,22.4979,36.3072,7.7871,69.7802,-1.1682,-15.5712,15.1374,19.9204,23.2567,34.8153,36.4833,25.6561,17.7334,3.1399,3.5181,7.8011,17.7941,14.2538,11.283,3.091,0.31,0.43,5.77,12.15,9.92,5.43,1.58
002370.SZ,亚太药业,浙江,化学制药,20100316,-143.6808,-13.2844,-1095.5709,2.7868,61.3466,125.7517,36.8056,-152.43,-20.75,-1150.41,2.71,64.42,125.05,38.03,-59.4157,14.7148,-45.8436,20.9389,25.505,86.3074,23.3076,45.3843,38.5107,35.8004,43.9209,44.5539,39.3787,41.1002,-16.6951,15.4866,-291.7326,15.9862,18.749,14.7496,12.1968,-4.0,2.24,-128.48,8.55,8.91,10.82,7.27
002382.SZ,蓝帆医疗,山东,医疗保健,20100402,50.7341,64.4691,41.412,72.611,10.9323,6.3789,175.8617,63.94,47.28,21.98,94.0,24.29,-3.39,196.87,7.3335,117.1602,31.001,68.351,22.2828,-14.5935,-1.7004,41.2976,42.3461,46.6319,40.5674,31.3978,27.1577,25.9425,16.5757,12.1143,14.9457,13.3932,12.8161,13.9917,11.1442,1.7,1.22,6.04,7.49,14.87,14.66,15.24
002390.SZ,信邦制药,贵州,中成药,20100416,-121.0601,-16.0883,118.2246,-505.9713,29.8239,41.079,20.4524,-120.82,-15.53,117.79,-535.92,60.45,17.82,22.71,-20.2194,3.2713,1.1365,9.6262,16.3939,23.3812,68.7983,15.7828,19.4655,22.006,21.7853,20.9349,21.4889,20.6025,-3.241,3.1649,3.9627,-19.5004,5.5225,4.7063,4.0292,-0.27,1.24,4.85,-22.5,4.93,4.25,7.07
002393.SZ,力生制药,天津,化学制药,20100423,-22.9009,8.5457,1.7082,58.3478,1.0475,1.2186,22.9652,-31.85,8.98,9.93,51.6,-5.57,1.14,26.25,-23.4273,10.3163,7.4267,46.0616,21.5598,9.3021,0.1365,65.1364,68.8011,72.2798,71.5936,63.2083,56.8487,55.2771,10.2959,10.2257,11.6474,12.3023,11.3477,13.6513,14.7418,0.77,0.97,4.06,5.88,3.83,3.87,3.89
002399.SZ,海普瑞,深圳,化学制药,20100506,-49.6497,636.4272,79.1087,213.327,-66.9103,-31.544,71.3905,2539.57,-82.89,6.56,929.45,-85.89,-46.6,63.67,37.0626,6.6535,-3.9525,69.3381,18.102,-1.3684,17.0221,43.868,35.8583,37.3104,40.0885,23.9685,31.9928,37.0252,18.1599,48.3374,22.565,12.2988,4.4262,17.0778,24.782,3.4,8.0,15.77,9.14,1.69,4.84,6.8
002411.SZ,延安必康,陕西,化学制药,20100525,-66.2535,-28.3363,-1.0135,-54.7186,-6.397,68.7436,17.4116,-62.48,-28.13,-19.89,-59.82,-14.81,57.02,16.58,-20.9073,13.5543,10.4344,57.3547,44.1499,84.0416,12.0401,21.3539,23.8195,22.0526,25.3938,34.8076,54.7915,61.4463,3.8576,8.0967,4.5459,5.0426,16.7824,25.8347,28.0857,0.53,1.63,4.17,4.39,10.19,12.91,26.11
002412.SZ,汉森制药,湖南,中成药,20100525,-8.1501,10.5197,10.0591,35.5953,28.0997,-13.3958,-16.5923,-4.44,6.91,10.38,31.88,33.07,-15.74,-18.29,-18.4825,-5.436,-3.7376,11.0866,3.9414,2.2197,5.9265,73.853,73.2997,73.8136,74.3223,72.8907,71.1554,71.0781,21.1891,18.8055,18.2963,16.0027,13.1102,10.6481,12.8403,2.39,2.91,11.24,11.41,8.78,6.74,8.39
002422.SZ,科伦药业,四川,化学制药,20100603,-93.4793,-12.3985,-22.6795,62.0404,28.0353,-9.3964,-35.5954,-105.22,-2.04,-29.05,698.96,-74.09,-14.3,-31.7,-17.4964,9.0471,7.8553,42.9984,33.4932,10.3384,-3.2415,50.9817,58.3003,60.1812,59.5631,51.3092,43.326,41.9639,0.8793,8.437,5.7923,7.7513,7.093,7.2885,6.9801,0.17,2.61,7.21,9.81,6.45,5.21,5.91
002424.SZ,贵州百灵,贵州,中成药,20100603,-46.1958,5.3243,-48.2663,7.0517,9.0831,17.2476,32.4972,-45.92,4.6,-58.53,11.56,5.02,21.52,29.23,10.3379,3.5981,-9.1257,21.0287,17.0537,16.5934,20.6021,55.4164,60.9892,60.1223,59.7476,63.2702,64.3686,62.0576,11.0202,22.6427,10.2851,18.2275,20.5273,21.961,21.9131,2.07,4.48,7.34,15.53,16.79,17.6,16.74
002432.SZ,九安医疗,天津,医疗保健,20100610,230.1243,-40.1687,423.7678,107.649,-1244.0347,109.6165,-1578.4142,232.09,-34.27,-74.36,23.83,-24.94,5.96,-89.97,99.033,25.2437,25.2529,-5.6929,42.3148,5.6,-6.4858,45.1628,31.4364,28.7904,29.96,30.6104,32.3186,25.7114,16.4528,-26.1043,3.8313,-0.5071,-27.7415,3.4508,-37.8932,2.72,-2.34,4.11,0.82,-11.37,1.35,-22.04
002433.SZ,太安堂,广东,中成药,20100618,-56.1312,-35.9196,-64.5268,-6.7173,19.3447,27.984,2.0486,-141.03,-40.64,-9.61,-84.23,12.39,19.0,3.86,-7.0641,18.2488,21.0496,2.3575,5.3161,29.6755,93.1881,25.1114,28.4954,24.4133,27.7696,29.9259,26.9984,28.4416,2.4049,5.0847,2.5373,8.3003,9.0867,8.2225,8.2465,0.3,0.69,1.84,5.36,6.09,5.38,4.94
002435.SZ,长江健康,江苏,化学制药,20100618,-11.5375,2.9397,-201.4088,9.6912,108.9902,271.7768,-9.254,20.33,-27.63,-306.21,5.4,785.65,-18.79,-12.71,-14.7663,18.3921,8.5401,56.4727,41.2266,98.6463,-13.289,65.8556,65.7751,60.9359,61.7314,45.4833,32.7928,14.0849,6.9221,7.1143,-7.7715,8.4518,11.0685,14.1494,4.1019,1.45,1.5,-7.23,6.84,6.48,5.93,5.03
002437.SZ,誉衡药业,黑龙江,化学制药,20100623,670.3931,-12.9073,-2214.3033,-59.3466,-56.7883,7.7977,49.8093,-161.89,-27.75,-267966.38,-99.62,-60.11,6.27,53.72,-53.8577,4.976,-7.7988,80.1956,1.9491,11.2823,40.6859,67.9203,73.0793,73.3513,74.5475,70.5729,58.6506,63.1967,113.7252,6.7747,-52.5329,2.3493,10.0356,24.4124,26.146,35.56,1.96,-91.21,2.95,7.65,19.63,20.15
002462.SZ,嘉事堂,北京,医药商业,20100818,-48.368,12.4779,14.7494,24.2722,18.1722,28.9768,-24.1531,-48.45,13.26,14.21,22.72,19.6,28.49,40.99,-16.3292,27.732,23.534,26.1325,29.7799,33.8025,47.1574,9.127,10.4034,10.233,10.2317,9.6966,10.9118,12.8434,2.0183,3.3169,2.9739,3.1771,3.2969,3.7369,3.675,1.48,3.88,13.38,13.93,12.59,11.94,12.73
002524.SZ,光正集团,新疆,医疗保健,20101217,368.2712,55.6857,197.1188,-1481.3841,11.8653,-25.4783,107.4122,-315.6105,49.76,70.53,-83.59,5.54,-141.32,80.84,-68.3437,139.0181,9.3232,112.1485,10.9552,-10.0668,-11.3555,15.7356,33.8427,37.6795,29.2588,18.1482,18.2734,34.2837,5.6707,1.8483,12.2278,-4.2824,1.4114,1.6289,4.5843,1.53,-0.63,8.57,-10.28,0.73,0.62,0.84
002550.SZ,千红制药,江苏,生物制药,20110218,-128.3714,6.2931,18.6186,20.9525,-18.4694,-15.9796,9.025,-153.15,5.86,80.26,24.76,-30.37,-28.89,2.96,-60.2233,8.4555,26.7444,24.047,37.2335,2.5544,-7.0656,49.5336,46.433,47.868,48.8924,51.7687,64.7038,67.1925,-18.7408,23.6394,15.3367,15.9679,16.4162,28.9395,34.6465,-1.09,3.47,10.7,8.89,7.62,9.63,12.26
002551.SZ,尚荣医疗,深圳,医疗保健,20110225,35.108,-44.8779,-38.8411,-44.2164,53.4426,-4.118,33.1877,51.31,-50.33,-16.56,-64.24,55.01,-10.83,28.26,1.7515,-29.5186,-6.1096,-18.7416,3.1051,16.7873,42.8138,25.5292,24.3966,21.5453,24.6546,23.561,24.4079,27.0304,14.0242,10.0995,4.9924,8.2625,9.4282,7.0051,9.3064,1.64,1.29,2.56,4.29,9.58,7.2,9.91
002562.SZ,兄弟科技,浙江,化学制药,20110310,178.0741,-135.1143,100.8754,-94.5869,140.3809,103.8658,105.4383,157.88,-146.6,223.92,-102.78,150.4,103.6,126.4,46.9692,-25.5242,-11.1164,-9.5563,47.1253,17.4647,13.0309,31.9853,14.6321,29.324,23.242,47.8649,38.0837,25.5676,4.3329,-8.1564,3.4845,1.5418,25.7613,17.966,11.304,0.89,-1.14,1.91,0.97,20.88,9.84,8.98
002566.SZ,益盛药业,吉林,中成药,20110318,27.3364,-17.1208,10.8853,14.9988,355.2653,20.9222,-88.6821,2.42,-16.35,11.95,17.74,1298.85,-583.57,-98.92,-18.0955,-4.8844,3.8622,-5.7378,10.1628,14.5699,4.0239,76.5084,75.1941,75.3631,77.1471,74.0294,73.4721,73.4752,12.5752,8.07,9.117,8.7078,8.0043,1.7839,1.2829,1.11,0.91,4.04,3.78,3.39,0.76,0.63
002581.SZ,未名医药,山东,生物制药,20110520,-385.9759,-115.693,161.091,-124.6617,-7.3212,66.9086,11.2193,-386.1,-116.44,122.02,-123.19,-7.3648,67.56,49.17,-19.2499,-14.2544,-14.5888,-42.8265,-8.1006,47.3728,37.4756,83.6322,87.204,86.9387,85.1707,78.0058,76.3341,83.408,-47.7668,-7.7506,12.8752,-13.9268,33.6289,32.9292,27.998,-2.68,-0.47,2.43,-3.33,14.27,18.21,20.71
002589.SZ,瑞康医药,山东,医药商业,20110610,-49.6475,-32.2589,-220.3087,-22.7685,70.6638,150.3868,30.3623,-60.19,-31.73,-494.71,-69.07,66.81,151.83,29.65,-34.0672,22.6154,3.9506,45.613,49.1396,60.1921,25.2257,18.3679,18.4189,19.3404,19.1455,18.4412,15.6689,10.9705,2.7812,3.2671,-1.2337,3.7673,5.8748,4.3222,2.4937,1.32,2.22,-11.77,9.53,13.74,13.02,8.16
002603.SZ,以岭药业,河北,中成药,20110728,51.8807,-7.1768,1.2148,10.8223,1.5054,25.9081,21.4378,54.77,-9.53,-2.35,11.94,-2.39,23.16,21.44,50.5639,-1.9419,20.9933,17.9672,6.0183,19.9515,9.0237,64.9041,64.8964,63.8437,66.1272,68.0512,66.292,63.4379,18.754,18.5819,10.3522,12.3159,13.1524,14.0289,13.4015,5.36,3.75,7.83,8.14,8.25,10.81,9.35
002614.SZ,奥佳华,福建,医疗保健,20110909,-184.4216,30.0685,-34.1919,27.2152,37.5053,39.0335,28.7665,-452.29,172.21,-15.53,30.91,36.52,54.57,15.96,-17.8236,20.1827,-3.1349,26.8578,24.4083,21.9257,0.6926,35.6933,36.7231,37.2154,36.255,36.9959,35.7722,33.2095,-3.8935,2.9049,5.4516,8.1293,8.2786,7.6954,6.4311,-0.93,1.13,8.66,14.28,12.85,10.36,8.03
002644.SZ,佛慈制药,甘肃,中成药,20111222,2.5243,-41.6029,0.7727,0.2508,21.6106,41.8617,23.9367,-6.55,-55.0,-101.97,-23.85,14.43,53.24,43.76,-11.5822,9.2458,15.4677,8.6685,37.9579,10.8891,-17.9133,27.0508,23.2334,27.6221,32.3676,29.7429,29.7973,25.2325,9.5888,8.3169,11.8743,13.6396,14.7849,16.7723,13.1104,0.88,0.9,5.06,5.31,5.58,4.83,4.05
002653.SZ,海思科,西藏,化学制药,20120117,157.6726,-16.6354,48.2141,40.2753,-46.3495,21.6483,-17.3976,0.7,267.06,93.54,33.41,-59.85,-18.04,-14.45,-29.8343,75.5019,14.903,84.6103,29.2945,18.4051,0.1535,69.0816,60.0742,65.7576,56.5421,64.562,74.1659,67.0573,20.1053,5.6225,12.0602,9.2668,12.3429,31.53,30.6946,5.27,2.43,23.04,16.41,11.2,21.26,17.3
002675.SZ,东诚药业,山东,化学制药,20120525,14.4903,48.6624,-44.8288,62.4404,31.8291,45.9156,-13.6714,4.53,49.51,-30.79,65.41,42.47,40.5,-15.33,33.6115,33.6739,28.2892,46.2034,37.7358,45.7325,5.8446,45.5853,59.2582,59.3512,57.3122,54.5357,47.1262,37.9462,12.2061,16.6591,9.8117,16.6662,16.5913,17.2916,14.0317,1.71,1.54,3.65,7.73,6.09,6.08,6.4
002688.SZ,金河生物,内蒙,化学制药,20120713,43.3081,22.4369,13.0232,50.9159,-33.9399,56.8322,35.5437,48.6,43.52,-4.22,60.15,-41.67,65.87,44.45,12.5827,13.9481,9.422,11.7342,-2.5313,19.6101,48.8997,38.3216,43.1298,36.6438,37.8373,38.3106,34.1796,28.9253,13.7298,9.5636,10.6784,10.093,7.5487,11.649,9.2571,3.17,2.22,10.45,10.24,7.2,14.56,10.56
002693.SZ,双成药业,海南,化学制药,20120808,40.782,-157.8723,135.4994,-1199.8897,101.6258,-837.315,-13.3284,42.85,16.75,46.85,-71.68,88.02,-987.37,-10.4,-32.3723,-17.6777,2.7891,36.6631,70.0266,-37.1626,43.2839,77.5145,64.2976,72.5644,64.1636,62.9381,51.8164,55.7799,-18.5786,-14.8635,2.6047,-27.324,0.5386,-267.6188,22.8077,-0.97,-1.72,4.62,-12.48,1.1,-52.96,5.84
002727.SZ,一心堂,云南,医药商业,20140702,16.8055,33.5091,15.8996,23.2676,19.6213,2.0553,16.5247,15.25,30.5,16.22,30.74,15.29,2.19,11.34,19.2971,18.7738,14.1977,18.3861,24.0314,17.4433,20.1594,36.1821,38.1179,38.6957,40.5311,41.5244,41.2834,41.9242,6.6332,6.7899,5.7574,5.6643,5.454,5.6577,6.5106,4.36,4.24,14.0,13.47,16.02,14.96,16.1
002728.SZ,特一药业,广东,中成药,20140731,-42.8706,61.83,10.3917,46.2689,12.2031,16.8567,1.1368,-54.2,85.78,9.05,46.26,8.57,15.83,0.47,-28.2898,20.106,4.0845,28.828,4.7399,26.9712,49.831,53.5625,57.5048,59.3426,58.8868,48.2137,47.7424,45.2779,13.0643,16.3986,18.6414,17.5764,15.4806,14.4509,15.7017,1.93,3.55,15.62,14.74,11.4,11.21,10.53
002737.SZ,葵花药业,黑龙江,中成药,20141230,-5.4641,11.3,0.3808,32.8494,39.9257,-1.1691,1.8173,-5.98,28.67,2.12,34.12,55.25,-7.13,-10.31,-24.9616,11.1707,-2.2439,15.9953,14.6136,10.8348,11.6233,56.5261,58.2052,58.5555,59.0576,59.6082,58.341,55.5694,17.692,14.6848,14.5288,13.5919,12.1879,10.0857,10.7921,4.67,4.86,17.86,18.25,15.03,11.86,13.12
002750.SZ,龙津药业,云南,中成药,20150324,-179.9894,-27.683,-266.5989,-60.5509,-61.3778,47.3022,-2.7871,-230.93,4.48,-1452.0,-84.67,-66.62,7.48,-12.88,-36.5609,-21.2872,-18.0641,10.3588,36.1383,23.2616,-3.1877,85.4317,92.5485,82.4681,90.1348,88.8293,79.8635,65.2812,-14.7223,7.9907,-8.6951,4.1156,11.5486,40.6924,34.0426,-0.67,0.81,-3.1,2.14,5.43,14.38,12.02
002755.SZ,奥赛康,北京,化学制药,20150515,-43.3497,17.9284,16.5483,10.2933,138.1707,-75.591,-49.7002,-43.11,13.63,18.78,11.6,486.72,-90.4,-49.66,-36.3078,13.9648,14.9229,15.4786,105.1683,-35.8787,-40.9269,90.4753,92.9654,92.5594,92.9354,26.6622,19.2262,32.9755,14.9692,16.8533,17.2597,17.0123,4.7172,2.5817,6.782,4.15,9.7,35.94,42.58,2.13,0.91,4.34
002758.SZ,华通医药,浙江,医药商业,20150527,-38.0515,-18.8034,-27.5103,-17.8314,4.7531,-14.4737,2.2783,-48.53,-29.4112,-30.77,-27.53,10.08,-12.9,-0.34,-20.0243,6.5578,10.2704,11.2184,8.8333,3.1183,6.648,16.0834,14.5942,15.064,14.6719,13.8485,11.4291,11.4479,1.0764,1.2562,1.1733,2.04,2.9114,3.1689,3.8486,0.58,1.27,3.77,5.9,7.55,7.41,11.59
002773.SZ,康弘药业,四川,化学制药,20150626,-16.3043,2.4365,3.3451,7.8772,29.6822,26.1389,43.9999,-23.69,2.73,2.06,0.35,28.67,30.3,41.66,-11.7561,2.4321,11.6535,4.6994,9.7032,22.4494,23.8775,90.2998,92.2407,91.9001,92.1676,90.3358,90.4088,89.129,27.9115,29.4282,22.0478,23.8203,23.1186,19.6895,19.1379,3.75,5.04,16.66,18.42,20.34,18.41,19.34
002788.SZ,鹭燕医药,福建,医药商业,20160218,15.3326,37.1528,41.9046,38.0963,13.0327,1.8006,3.798,12.68,35.38,36.54,41.45,8.63,3.24,6.86,-1.9417,31.8276,30.5019,37.9296,19.4096,5.3906,5.1735,7.7685,7.2187,7.7913,7.8246,7.7931,7.5929,7.9715,1.4657,1.3063,1.7157,1.6049,1.7391,1.6723,1.7388,2.71,2.74,15.24,11.99,9.02,14.91,16.58
002793.SZ,罗欣药业,浙江,化学制药,20160415,-10.9743,-9.6899,23.7422,-3.8895,15.4329,22.7118,27.874,-19.43,-18.4,39.86,-4.4,27.23,5.55,27.6772,-29.2125,26.3958,22.1773,12.9705,29.9102,9.1038,8.7258,53.6829,27.2883,63.1073,25.9581,30.4599,28.7529,29.1098,8.6605,7.3521,8.6147,11.9029,13.991,15.7457,13.9996,2.94,1.98,19.18,13.67,16.17,17.86,26.13
002817.SZ,黄山胶囊,安徽,化学制药,20161025,2.6815,-17.6318,8.7985,-22.5207,-11.2162,-4.747,6.0458,-8.53,8.61,16.11,-16.38,-33.17,-6.45,5.787,-9.5581,3.1719,10.4672,3.0612,0.8894,11.6806,-7.1769,36.7853,33.6931,36.1942,33.2812,36.0008,42.6571,44.4681,12.388,10.7638,11.1797,11.5596,16.2334,18.4468,21.6282,1.24,1.26,5.53,5.3,7.18,13.58,18.36
002821.SZ,凯莱英,天津,生物制药,20161118,17.3424,45.0012,29.3182,25.494,35.0376,64.6001,50.8426,16.33,51.87,32.5,24.22,20.58,64.21,58.9977,-0.2094,31.0287,34.0681,28.9413,28.992,32.8178,15.9731,47.696,44.2372,45.5044,46.4992,51.7417,51.6027,48.2204,22.7194,19.3211,22.5149,22.1514,25.3015,24.9824,20.4329,3.48,3.6,19.92,18.88,17.93,24.11,18.62
002826.SZ,易明医药,西藏,中成药,20161209,-9.1093,6.804,47.8079,-58.24,9.2455,10.6507,54.5436,-124.76,11.75,95.07,-68.32,-0.05,0.22,75.059,-9.3001,16.7583,13.1924,28.5258,-15.85,30.2388,19.3547,29.4162,31.9849,32.9565,31.939,71.3904,70.8914,69.0928,6.212,6.1989,6.7471,5.167,15.9027,12.2495,14.418,0.91,1.07,5.88,4.14,10.46,18.64,24.51
002864.SZ,盘龙药业,陕西,中成药,20171116,-17.9192,24.6937,10.9722,47.9492,10.6033,-7.2951,6.403,-12.88,27.67,38.65,11.79,11.1,-9.0177,8.5934,-32.644,27.8925,24.7603,29.8988,23.3661,19.2615,4.2338,63.845,69.0032,69.4976,71.1485,69.2312,62.9993,64.6645,12.1188,9.9448,11.7548,13.2153,11.603,12.9591,16.6722,1.44,1.94,11.17,11.1,11.98,12.83,15.97
002872.SZ,ST天圣,重庆,化学制药,20170519,-181.4984,-84.2485,-2615.1141,-55.2238,10.7255,16.939,16.652,-204.13,-83.08,-6399.45,-52.23,8.05,25.0559,9.5299,-38.4808,-23.561,-22.7217,-3.9787,8.3607,13.2346,10.7725,30.5747,27.2318,28.1282,28.684,30.1976,29.3374,28.9989,-3.3737,2.3316,-13.0472,5.4115,11.312,11.2148,10.9222,-0.29,0.33,-7.42,3.48,9.98,13.26,12.93
002873.SZ,新天药业,贵州,中成药,20170519,-82.0414,1.2488,0.6293,7.3486,15.8532,35.8459,26.828,-75.21,-0.12,16.24,-6.2,14.19,35.6299,26.7267,-38.0885,3.6591,11.3903,1.8403,7.6641,21.3208,14.9265,77.9152,79.2345,78.9768,79.0117,80.5479,81.7912,83.5753,3.1022,10.625,9.1637,10.1396,9.6986,9.0131,8.0494,0.43,2.6,10.72,10.91,13.98,22.74,20.21
002880.SZ,卫光生物,深圳,生物制药,20170616,17.4272,9.0375,9.3898,1.2198,0.9935,22.7238,24.1827,22.6,9.29,10.6,2.38,0.2,20.6421,25.8481,12.184,28.8752,19.4084,10.3562,10.1129,13.0139,10.6391,31.8146,33.9058,38.3868,39.7735,44.3085,47.3911,46.4993,16.605,15.9748,20.8348,22.7687,24.8238,27.0654,24.924,2.16,2.05,12.43,12.58,18.54,34.3,35.92
002898.SZ,赛隆药业,广东,化学制药,20170912,-340.2839,-43.9173,-54.8752,-5.5813,5.3166,-3.2678,124.6048,-317.57,-31.57,-71.75,-10.41,0.05,4.1985,10.7222,-51.0657,-27.0274,-32.7331,19.7832,42.3637,7.723,33.3541,82.6352,63.8321,74.2529,56.7226,56.1241,54.9739,56.8605,-23.3961,4.7647,9.365,13.9603,17.7105,23.9405,26.6607,-1.15,0.47,4.14,9.47,17.91,25.65,36.79
002900.SZ,哈三联,黑龙江,化学制药,20170922,-40.2471,-13.7617,-13.9102,13.6616,3.3638,5.3406,13.1428,-96.08,-33.34,0.16,-27.69,-1.38,5.1,21.22,-42.3214,5.9856,-3.243,89.1068,50.9886,5.3815,5.9419,63.2391,79.5457,75.7418,83.7991,74.1736,61.8794,61.7938,10.723,10.5703,8.271,9.4078,15.7617,23.0239,23.0329,1.73,2.73,8.97,10.87,16.78,22.69,24.44
002901.SZ,大博医疗,福建,医疗保健,20170922,7.8477,20.5774,25.3162,25.6793,34.7552,16.3501,35.3347,-6.62,20.63,30.23,24.08,30.0,12.9496,32.476,5.8864,40.3081,62.766,30.0422,28.3901,18.0791,31.0928,87.0199,86.262,85.6105,80.3963,83.0641,81.96,81.0328,38.8584,39.5013,38.0735,48.945,50.6041,47.9675,48.1599,5.05,5.58,29.76,28.1,37.76,41.87,54.42
002907.SZ,华森制药,重庆,化学制药,20171020,-10.8367,6.0513,23.5669,22.6671,17.0099,29.6216,25.6687,-17.03,16.59,25.01,23.15,14.28,27.17,32.33,-11.0408,16.2355,19.7108,18.801,7.3284,17.5462,10.1936,59.2403,65.9965,63.5319,67.1929,67.005,64.3672,62.0493,16.3299,16.2925,20.1583,19.5293,18.9138,17.3488,15.488,1.68,3.7,17.92,17.79,20.67,23.14,22.44
002923.SZ,润都股份,广东,化学制药,20180105,10.297,45.225,11.2803,17.8613,3.6435,22.905,19.5658,22.72,23.66,5.49,2.06,11.27,10.62,22.46,-6.7354,53.3509,30.2768,33.9277,19.5684,12.7901,10.3791,63.7749,71.6591,72.0596,75.0672,64.6328,63.9325,66.317,10.0617,8.5079,8.743,10.2355,11.6308,13.4178,12.3136,3.33,3.27,13.28,12.97,20.44,24.68,25.35
002932.SZ,明德生物,湖北,医疗保健,20180710,-87.9186,18.1494,-32.3903,-6.2187,9.7176,67.6906,65.2603,-83.29,10.84,-39.73,-16.29,2.95,49.06,101.9371,-39.3612,24.4826,2.7066,6.818,17.1261,47.8674,64.9439,70.8435,78.8856,74.3237,77.1029,81.8617,85.5353,78.9549,7.4781,35.0838,23.4643,35.4164,39.6999,42.341,37.3358,0.32,2.7,6.95,15.55,31.51,41.1,44.5
002940.SZ,昂利康,浙江,化学制药,20181023,24.3581,0.1972,3.2867,7.5304,22.9934,28.3634,27.7284,0.34,-8.66,20.52,-4.49,25.8947,28.36,27.5269,-20.1132,43.3153,11.2463,43.7372,30.0148,-13.2093,13.5413,84.038,64.1625,73.1183,69.8542,53.0952,32.2665,23.1281,14.4272,9.3301,9.0573,9.6944,12.075,12.051,7.5082,4.24,3.59,12.06,22.18,29.98,29.44,29.96
002950.SZ,奥美医疗,湖北,医疗保健,20190311,64.619,34.8048,43.0376,-2.5467,-5.8037,58.0676,-20.8872,92.58,9.29,34.14,-2.66,-8.35,20.63,5.9604,16.2317,26.5074,16.027,18.4906,9.8217,-1.7089,5.0461,35.741,31.9224,33.8844,31.3821,33.9213,35.6536,33.1967,15.1429,10.664,13.7812,11.162,13.6348,15.9245,9.6267,4.06,3.89,17.75,18.95,20.79,22.19,19.25
